Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9UBX3;Q9UBX3-2;I3L3N9	Q9UBX3;Q9UBX3-2	4;4;1	2;2;1	2;2;1	Mitochondrial dicarboxylate carrier ;Isoform 2 of Mitochondrial dicarboxylate carrier 	3	4	2	2	25.1	11.1	11.1	31.282	287	287;296;39	0	11.287	4981800	2				2194	4407;14358;14642;15507	False;True;False;True	4501;14756;15050;15936	7355;24420;24918;24919;26350	8362;27799;28357;28358;29975	8362;27799;28358;29975		
Q9UDW1;Q9UDW1-2	Q9UDW1;Q9UDW1-2	2;1	2;1	2;1	Cytochrome b-c1 complex subunit 9 ;Isoform 2 of Cytochrome b-c1 complex subunit 9 	2	2	2	2	38.1	38.1	38.1	7.3084	63	63;62	0	25.682	101730000	4				2195	457;9748	True;True	466;9969	770;771;16554;16555	861;862;18850;18851	861;18850		
Q9UEE9-2;Q9UEE9	Q9UEE9-2;Q9UEE9	1;1	1;1	1;1	Isoform 2 of Craniofacial development protein 1 ;Craniofacial development protein 1 	2	1	1	1	4.6	4.6	4.6	24.061	217	217;299	0.0079121	6.006	15525000	1				2196	14165	True	14559	24078;24079	27396;27397	27397		
Q9UEY8-2;Q9UEY8	Q9UEY8-2;Q9UEY8	1;1	1;1	1;1	Isoform 1 of Gamma-adducin ;Gamma-adducin 	2	1	1	1	2.1	2.1	2.1	75.67	674	674;706	0.00048996	7.2762	0	1				2197	4973	True	5077	8365	9535	9535		
Q9UG63;Q9UG63-2;C9JHK9;C9JZV3	Q9UG63;Q9UG63-2	6;6;1;1	6;6;1;1	6;6;1;1	ATP-binding cassette sub-family F member 2 ;Isoform 2 of ATP-binding cassette sub-family F member 2 	4	6	6	6	12	12	12	71.289	623	623;634;240;287	0	44.128	78124000	8				2198	6401;6615;8446;8820;10109;16085	True;True;True;True;True;True	6538;6764;8635;9015;10383;16522	10857;11212;14400;15031;15032;17228;17229;27317	12415;12821;16416;17143;17144;19610;19611;31045	12415;12821;16416;17144;19610;31045		
Q9UGP8;A6PVC9	Q9UGP8	5;1	5;1	5;1	Translocation protein SEC63 homolog 	2	5	5	5	7.8	7.8	7.8	87.996	760	760;161	0	32.579	59888000	4				2199	1649;1844;9312;13254;14644	True;True;True;True;True	1685;1886;9522;13625;15052	2804;3126;15811;22505;24921;24922	3224;3580;18010;25579;28360;28361	3224;3580;18010;25579;28361		
Q9UHB9-2;Q9UHB9;F5H5Y3;Q9UHB9-4;Q9UHB9-3;K7EN53;K7EQC2	Q9UHB9-2;Q9UHB9;F5H5Y3;Q9UHB9-4;Q9UHB9-3	10;10;9;9;5;1;1	10;10;9;9;5;1;1	10;10;9;9;5;1;1	Isoform 2 of Signal recognition particle subunit SRP68 ;Signal recognition particle subunit SRP68 ;Signal recognition particle subunit SRP68 ;Isoform 4 of Signal recognition particle subunit SRP68 ;Isoform 3 of Signal recognition particle subunit SRP68 	7	10	10	10	23.7	23.7	23.7	67.303	596	596;627;526;589;288;54;63	0	81.197	134500000	13				2200	947;1817;3730;4383;6026;7860;8053;15031;15086;15537	True;True;True;True;True;True;True;True;True;True	970;1858;3811;4477;6152;8037;8234;15448;15503;15967	1607;3080;6280;7317;7318;7319;10190;10191;13448;13747;13748;25551;25643;25644;26398;26399	1845;3527;7132;8315;8316;8317;11594;11595;15340;15668;15669;29091;29186;29187;30028;30029	1845;3527;7132;8315;11595;15340;15668;29091;29186;30029		
Q9UHD1;Q9UHD1-2;E9PPQ5;E9PIZ4;E9PSD5;E9PHZ2;E9PL00	Q9UHD1;Q9UHD1-2;E9PPQ5;E9PIZ4;E9PSD5	8;7;6;5;5;2;1	8;7;6;5;5;2;1	8;7;6;5;5;2;1	Cysteine and histidine-rich domain-containing protein 1 ;Isoform 2 of Cysteine and histidine-rich domain-containing protein 1 ;Cysteine and histidine-rich domain-containing protein 1 ;Cysteine and histidine-rich domain-containing protein 1 ;Cysteine and hi	7	8	8	8	36.1	36.1	36.1	37.489	332	332;313;184;116;120;144;39	0	66.842	222560000	13				2201	3043;3692;4093;5644;9320;9662;13591;13648	True;True;True;True;True;True;True;True	3111;3772;4182;5759;9530;9883;13971;14028	5176;5177;6221;6222;6852;9526;15824;15825;15826;16426;16427;23081;23082;23177	5902;5903;7065;7066;7796;10845;18024;18025;18026;18711;18712;26231;26232;26335	5903;7065;7796;10845;18024;18711;26231;26335		
Q9UHD8-7;Q9UHD8-2;Q9UHD8-5;Q9UHD8;Q9UHD8-3;Q9UHD8-4;Q9UHD8-9;Q9UHD8-8;K7ER14;K7EK18;K7EL40;K7EJZ2;K7ELJ9;K7ER52;K7EIE4;K7EQD7;K7EJL9;K7EIR4;K7EKN4;K7EN52;K7EJV0;K7ENQ5;K7EJ51;K7EPY1;K7ENL0	Q9UHD8-7;Q9UHD8-2;Q9UHD8-5;Q9UHD8;Q9UHD8-3;Q9UHD8-4;Q9UHD8-9;Q9UHD8-8	7;7;7;7;6;4;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1	7;7;7;7;6;4;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1	7;7;7;7;6;4;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1	Isoform 7 of Septin-9 ;Isoform 2 of Septin-9 ;Isoform 5 of Septin-9 ;Septin-9 ;Isoform 3 of Septin-9 ;Isoform 4 of Septin-9 ;Isoform 9 of Septin-9 ;Isoform 8 of Septin-9 	25	7	7	7	18	18	18	63.502	567	567;568;579;586;422;335;362;474;159;195;209;135;144;151;157;165;189;104;107;115;125;127;134;151;152	0	47.493	71493000	8				2202	2066;7995;9472;11342;12463;12634;15250	True;True;True;True;True;True;True	2113;8175;9690;11666;12815;12987;15670	3505;13658;16092;19318;21179;21471;21472;25922;25923	4008;15569;18325;21978;24063;24395;24396;29509;29510	4008;15569;18325;21978;24063;24395;29509		
Q9UHD9	Q9UHD9	5	2	2	Ubiquilin-2 	1	5	2	2	11.4	5.9	5.9	65.695	624	624	0	15.628	34945000	2				2203	2986;5061;8680;10745;10790	False;True;False;False;True	3054;5168;8872;11056;11101	5088;8521;8522;14800;18357;18358;18424	5803;9710;9711;16872;20910;20911;20988	5803;9710;16872;20911;20988		
Q9UHI6	Q9UHI6	1	1	1	Probable ATP-dependent RNA helicase DDX20 	1	1	1	1	1.8	1.8	1.8	92.239	824	824	0.00048333	6.9475	8936400	1				2204	6597	True	6746	11184	12788	12788		
Q9UHJ6	Q9UHJ6	2	2	2	Sedoheptulokinase 	1	2	2	2	6.3	6.3	6.3	51.49	478	478	0	12.067	7749800	2				2205	10003;12551	True;True	10260;12903	17023;21330	19383;24224	19383;24224		
Q9UHV9	Q9UHV9	5	5	5	Prefoldin subunit 2 	1	5	5	5	39.6	39.6	39.6	16.648	154	154	0	44.441	274930000	11				2206	3494;4441;6209;8882;10254	True;True;True;True;True	3571;4535;6339;9080;10551	5911;5912;7413;7414;7415;7416;10514;10515;15132;15133;17496	6719;6720;8427;8428;8429;8430;11991;11992;11993;17265;17266;19913	6720;8427;11991;17266;19913		
Q9UHX1-4;Q9UHX1-6;Q9UHX1-3;Q9UHX1-5;Q9UHX1-2;Q9UHX1;E9PQ56;H0YEM1;E9PN18;E9PMU7;E9PL19;H0YCP8	Q9UHX1-4;Q9UHX1-6;Q9UHX1-3;Q9UHX1-5;Q9UHX1-2;Q9UHX1;E9PQ56;H0YEM1;E9PN18	13;13;13;13;13;13;10;10;7;6;5;5	13;13;13;13;13;13;10;10;7;6;5;5	13;13;13;13;13;13;10;10;7;6;5;5	Isoform 4 of Poly(U)-binding-splicing factor PUF60 ;Isoform 6 of Poly(U)-binding-splicing factor PUF60 ;Isoform 3 of Poly(U)-binding-splicing factor PUF60 ;Isoform 5 of Poly(U)-binding-splicing factor PUF60 ;Isoform 2 of Poly(U)-binding-splicing factor PUF	12	13	13	13	38.9	38.9	38.9	54.024	499	499;513;516;530;542;559;322;336;263;247;228;273	0	115.04	247000000	18				2207	724;816;1265;1614;2008;7041;7494;8250;11084;12052;12706;14319;15375	True;True;True;True;True;True;True;True;True;True;True;True;True	741;838;1296;1650;2055;7200;7663;8437;11404;12396;13060;14717;15799	1226;1396;2152;2753;3405;3406;11938;12780;14080;14081;18925;20522;21579;24350;24351;26142;26143	1399;1593;2466;3168;3894;3895;13658;14597;16043;16044;16045;21556;23309;24510;27723;27724;27725;29750;29751	1399;1593;2466;3168;3895;13658;14597;16045;21556;23309;24510;27725;29751		
Q9UI09;F8VXI1;Q9UI09-2;F8VRD8	Q9UI09;F8VXI1;Q9UI09-2;F8VRD8	2;1;1;1	2;1;1;1	2;1;1;1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ;Isoform 2 of NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex sub	4	2	2	2	17.9	17.9	17.9	17.114	145	145;55;63;99	0	13.61	7660700	1				2208	4074;9875	True;True	4163;10112	6821;16777	7747;19101	7747;19101		
Q9UIG0-2;Q9UIG0	Q9UIG0-2;Q9UIG0	12;12	12;12	12;12	Isoform 2 of Tyrosine-protein kinase BAZ1B ;Tyrosine-protein kinase BAZ1B 	2	12	12	12	9.9	9.9	9.9	170.45	1479	1479;1483	0	75.162	76556000	11				2209	497;616;1169;1181;3444;4141;4682;4791;9131;9239;12754;15588	True;True;True;True;True;True;True;True;True;True;True;True	507;630;1198;1210;3520;4231;4781;4894;9339;9448;13109;16018	835;1038;1998;2018;5829;6922;7843;8045;15523;15692;15693;21650;26476	935;1183;2298;2318;6625;7867;8950;9182;17696;17875;17876;24586;30110	935;1183;2298;2318;6625;7867;8950;9182;17696;17875;24586;30110		
Q9UII2;Q9UII2-3;Q9UII2-2	Q9UII2	3;1;1	3;1;1	3;1;1	ATPase inhibitor, mitochondrial 	3	3	3	3	17	17	17	12.249	106	106;60;71	0	15.621	77310000	5				2210	3279;3291;3292	True;True;True	3351;3363;3364	5558;5579;5580;5581;5582;5583	6322;6345;6346;6347;6348;6349	6322;6345;6347		
Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3	Q9UIJ7	3;1;1	3;1;1	3;1;1	GTP:AMP phosphotransferase AK3, mitochondrial 	3	3	3	3	12.3	12.3	12.3	25.565	227	227;158;187	0	18.386	27762000	4				2211	5244;8438;13391	True;True;True	5353;8627;13766	8810;14389;22744;22745	10025;16403;25859;25860	10025;16403;25860		
Q9UJ83-2;Q9UJ83;C9JJM7;C9J306;B3KPX4;Q9UJ83-3;Q9UJ83-4	Q9UJ83-2;Q9UJ83;C9JJM7;C9J306;B3KPX4;Q9UJ83-3;Q9UJ83-4	2;2;1;1;1;1;1	2;2;1;1;1;1;1	2;2;1;1;1;1;1	Isoform 2 of 2-hydroxyacyl-CoA lyase 1 ;2-hydroxyacyl-CoA lyase 1 ;2-hydroxyacyl-CoA lyase 1 (Fragment) ;2-hydroxyacyl-CoA lyase 1 (Fragment) ;2-hydroxyacyl-CoA lyase 1 ;Isoform 3 of 2-hydroxyacyl-CoA lyase 1 ;Isoform 4 of 2-hydroxyacyl-CoA lyase 1 	7	2	2	2	5.3	5.3	5.3	61.064	551	551;578;157;244;337;496;518	0	11.611	11158000	2				2212	4135;5420	True;True	4225;5533	6915;9109	7860;10369	7860;10369		
Q9UJA5-3;Q9UJA5-2;Q9UJA5;Q9UJA5-4	Q9UJA5-3;Q9UJA5-2;Q9UJA5;Q9UJA5-4	2;2;2;1	2;2;2;1	2;2;2;1	Isoform 3 of tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 ;Isoform 2 of tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 ;tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 ;Isoform 4 of tRNA (a	4	2	2	2	7.4	7.4	7.4	40.816	365	365;399;497;327	0.00051894	10.19	6463200	2				2213	6477;9930	True;True	6616;10177	10983;16885	12555;19226	12555;19226		
Q9UJS0;Q9UJS0-2;F5GX33;O75746-2;O75746;R4GN64	Q9UJS0;Q9UJS0-2;F5GX33	12;12;10;3;3;2	12;12;10;3;3;2	12;12;10;3;3;2	Calcium-binding mitochondrial carrier protein Aralar2 ;Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar2 ;Calcium-binding mitochondrial carrier protein Aralar2 	6	12	12	12	24.3	24.3	24.3	74.175	675	675;676;567;571;678;73	0	87.881	152370000	14				2214	608;1316;2044;2142;3810;4942;5813;7836;9168;13724;15593;15840	True;True;True;True;True;True;True;True;True;True;True;True	622;1347;2091;2191;3892;5046;5933;8011;9376;14106;16023;16272	1027;2243;3468;3469;3630;3631;6403;8322;8323;9850;13396;13397;15581;15582;23310;26484;26916	1172;2580;3967;3968;4145;4146;7273;9489;9490;11212;15276;15277;17759;17760;26500;30118;30589	1172;2580;3968;4145;7273;9489;11212;15276;17759;26500;30118;30589		
Q9UJU6;Q9UJU6-2;Q9UJU6-5;H0Y5J4;B4DDP6;B4DDD6;Q9UJU6-3;Q9UJU6-4;F8WBG8	Q9UJU6;Q9UJU6-2;Q9UJU6-5;H0Y5J4;B4DDP6;B4DDD6;Q9UJU6-3;Q9UJU6-4	7;6;5;5;5;5;5;4;2	7;6;5;5;5;5;5;4;2	7;6;5;5;5;5;5;4;2	Drebrin-like protein ;Isoform 2 of Drebrin-like protein ;Isoform 5 of Drebrin-like protein ;Drebrin-like protein (Fragment) ;Drebrin-like protein ;Drebrin-like protein ;Isoform 3 of Drebrin-like protein ;Isoform 4 of Drebrin-like protein 	9	7	7	7	19.5	19.5	19.5	48.207	430	430;431;327;359;382;406;439;336;128	0	53.731	58908000	13				2215	360;1084;4274;10830;13822;14807;15933	True;True;True;True;True;True;True	367;1112;4365;11142;14209;15223;16370	612;1850;7131;7132;18502;18503;18504;18505;23498;23499;25189;27068;27069	692;2130;8105;8106;21082;21083;21084;21085;26738;26739;28672;30758;30759	692;2130;8105;21084;26738;28672;30759		
Q9UJW0-2;Q9UJW0;Q9UJW0-3	Q9UJW0-2;Q9UJW0;Q9UJW0-3	1;1;1	1;1;1	1;1;1	Isoform 2 of Dynactin subunit 4 ;Dynactin subunit 4 ;Isoform 3 of Dynactin subunit 4 	3	1	1	1	3.2	3.2	3.2	45.756	403	403;460;467	0.00049702	7.6896	2408200	1				2216	6666	True	6817	11314	12946	12946		
Q9UJZ1;Q9UJZ1-2;F2Z2I8	Q9UJZ1;Q9UJZ1-2	10;9;3	10;9;3	10;9;3	Stomatin-like protein 2, mitochondrial ;Isoform 2 of Stomatin-like protein 2, mitochondrial 	3	10	10	10	40.7	40.7	40.7	38.534	356	356;311;101	0	96.598	459790000	16				2217	411;1196;1379;2474;3338;3372;6382;9278;10923;11097	True;True;True;True;True;True;True;True;True;True	420;1225;1410;2534;3412;3447;6517;9488;11239;11418	704;2039;2040;2339;4198;4199;5661;5713;10823;15764;18670;18671;18672;18947	793;2342;2343;2344;2682;4804;4805;6434;6487;12370;17955;21265;21266;21267;21268;21580	793;2344;2682;4804;6434;6487;12370;17955;21265;21580		
Q9UK45	Q9UK45	1	1	1	U6 snRNA-associated Sm-like protein LSm7 	1	1	1	1	7.8	7.8	7.8	11.602	103	103	0.007933	6.0256	6458500	1				2218	11232	True	11554	19148	21797	21797		
Q9UKD2	Q9UKD2	7	7	7	mRNA turnover protein 4 homolog 	1	7	7	7	32.6	32.6	32.6	27.56	239	239	0	48.909	86966000	9				2219	2784;5377;8065;11231;12430;13281;16000	True;True;True;True;True;True;True	2849;5488;8246;11553;12782;13652;16437	4737;9037;9038;13765;19147;21130;21131;22554;27175	5392;10291;10292;15688;21796;24007;24008;25639;30882	5392;10291;15688;21796;24007;25639;30882		
Q9UKF6;G5E9W3	Q9UKF6;G5E9W3	4;3	4;3	4;3	Cleavage and polyadenylation specificity factor subunit 3 ;Cleavage and polyadenylation specific factor 3, 73kDa, isoform CRA_b 	2	4	4	4	8.8	8.8	8.8	77.485	684	684;647	0	32.285	32061000	5				2220	4925;8859;9382;11713	True;True;True;True	5029;9054;9595;12045	8297;8298;15091;15942;19958	9463;9464;17214;18148;22670	9464;17214;18148;22670		
Q9UKX7-2;Q9UKX7	Q9UKX7-2;Q9UKX7	2;2	2;2	2;2	Isoform 2 of Nuclear pore complex protein Nup50 ;Nuclear pore complex protein Nup50 	2	2	2	2	8.4	8.4	8.4	46.862	440	440;468	0	20.294	19346000	2				2221	10843;15797	True;True	11155;16229	18529;26850	21110;30522	21110;30522		
Q9UKY7-2;Q9UKY7;H0Y8K3;D6RFH2;Q9UKY7-3;D6R9V8;D6RAV0;D6RDN0	Q9UKY7-2;Q9UKY7;H0Y8K3	6;6;3;2;2;2;1;1	6;6;3;2;2;2;1;1	6;6;3;2;2;2;1;1	Isoform 2 of Protein CDV3 homolog ;Protein CDV3 homolog ;Protein CDV3 homolog (Fragment) 	8	6	6	6	63.4	63.4	63.4	22.079	213	213;258;188;108;110;156;92;108	0	52.91	141890000	8				2222	174;1610;3464;7551;12186;12886	True;True;True;True;True;True	174;1646;3541;7721;12532;13246	291;2749;5866;12885;12886;20728;21867;21868	321;3164;6668;14709;14710;23550;24831;24832	321;3164;6668;14709;23550;24832		
Q9UL25	Q9UL25	3	3	3	Ras-related protein Rab-21 	1	3	3	3	16.9	16.9	16.9	24.347	225	225	0	31.688	53449000	6				2223	20;4757;15233	True;True;True	20;4858;15652	28;29;7981;7982;25895;25896	29;30;9106;9107;29479;29480	29;9107;29480		
Q9ULC4;Q9ULC4-2;Q9ULC4-3	Q9ULC4;Q9ULC4-2;Q9ULC4-3	3;2;2	3;2;2	3;2;2	Malignant T-cell-amplified sequence 1 ;Isoform 2 of Malignant T-cell-amplified sequence 1 ;Isoform 3 of Malignant T-cell-amplified sequence 1 	3	3	3	3	28.7	28.7	28.7	20.555	181	181;169;182	0	23.736	101970000	7				2224	4276;4771;7162	True;True;True	4367;4368;4872;4873;7326	7135;7136;8005;8006;8007;8008;12176	8110;8111;9136;9137;9138;9139;13933	8110;9136;13933	467;468	112;177
Q9ULV4;Q9ULV4-2;Q9ULV4-3;F8W1H8;F8VUX3;F8VSA4;F8VRE9;F8VTT6;F8VVB7;B4E3S0;F8VV53;H0YHL7	Q9ULV4;Q9ULV4-2;Q9ULV4-3;F8W1H8;F8VUX3;F8VSA4;F8VRE9;F8VTT6;F8VVB7;B4E3S0	6;6;6;4;4;4;4;4;4;3;1;1	6;6;6;4;4;4;4;4;4;3;1;1	6;6;6;4;4;4;4;4;4;3;1;1	Coronin-1C ;Isoform 2 of Coronin-1C ;Isoform 3 of Coronin-1C ;Coronin (Fragment) ;Coronin ;Coronin (Fragment) ;Coronin (Fragment) ;Coronin (Fragment) ;Coronin (Fragment) ;Coronin 	12	6	6	6	15	15	15	53.248	474	474;480;527;151;159;162;163;169;181;369;125;165	0	43.144	135530000	10				2225	5711;10319;10401;14288;15165;15619	True;True;True;True;True;True	5829;10621;10705;14685;15583;16049	9664;9665;17616;17769;17770;24299;24300;25774;26528;26529	11001;11002;20045;20228;20229;27665;27666;29337;30167;30168	11002;20045;20228;27666;29337;30168		
Q9UMS0-3;Q9UMS0;C9J8Q1;F8W9P7;Q9UMS0-2;H7C537	Q9UMS0-3;Q9UMS0;C9J8Q1;F8W9P7;Q9UMS0-2;H7C537	2;2;1;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	Isoform 3 of NFU1 iron-sulfur cluster scaffold homolog, mitochondrial ;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial ;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (Fragment) ;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (	6	2	2	2	11.7	11.7	11.7	25.923	230	230;254;96;99;113;126	0	12.552	11134000	1				2226	3888;9103	True;True	3971;9310	6542;15472	7433;17642	7433;17642		
Q9UMS4;F5GY56;H0YGF3;F5H2I0;H0YGZ5	Q9UMS4	17;8;2;2;2	17;8;2;2;2	17;8;2;2;2	Pre-mRNA-processing factor 19 	5	17	17	17	54.4	54.4	54.4	55.18	504	504;252;45;104;119	0	167.52	866560000	31				2227	976;1467;3854;6486;6985;6999;7612;11133;11337;12230;12538;13397;13778;13929;15080;15147;15724	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1000;1500;3937;6625;7144;7158;7783;11454;11661;12577;12890;13773;14161;14319;15497;15565;16156	1656;2510;2511;6484;6485;10994;11844;11867;11868;11869;13000;13001;13002;13003;18995;19309;19310;20807;21310;21311;22753;22754;23397;23398;23671;25632;25633;25746;25747;26713;26714	1901;2886;2887;7362;7363;12569;13557;13582;13583;13584;14836;14837;14838;14839;21628;21969;21970;23640;24203;24204;25868;25869;26599;26600;26601;26925;29175;29176;29308;29309;30370;30371	1901;2886;7363;12569;13557;13582;14838;21628;21970;23640;24203;25869;26601;26925;29175;29308;30371		
Q9UMX0-2;Q9UMX0;H0YDS0;Q9NRR5	Q9UMX0-2;Q9UMX0	8;8;3;3	8;8;3;3	5;5;2;2	Isoform 2 of Ubiquilin-1 ;Ubiquilin-1 	4	8	8	5	20.7	20.7	14.6	59.219	561	561;589;157;601	0	60.028	129530000	8				2228	418;1000;1001;2986;4111;8680;10745;10751	True;True;True;True;True;True;True;True	427;1024;1025;3054;4200;8872;11056;11062	714;1691;1692;1693;5088;6873;14800;18357;18358;18367	803;1937;1938;1939;5803;7817;16872;20910;20911;20925	803;1938;1939;5803;7817;16872;20911;20925		
Q9UMX5	Q9UMX5	3	3	3	Neudesin 	1	3	3	3	20.3	20.3	20.3	18.856	172	172	0	22.489	20122000	3				2229	3056;8124;15660	True;True;True	3124;8306;16090	5197;13859;26599	5926;15801;30248	5926;15801;30248		
Q9UMY4-2;Q9UMY4;Q9UMY4-3	Q9UMY4-2;Q9UMY4;Q9UMY4-3	2;2;1	2;2;1	2;2;1	Isoform 2 of Sorting nexin-12 ;Sorting nexin-12 ;Isoform 3 of Sorting nexin-12 	3	2	2	2	9.9	9.9	9.9	18.884	162	162;172;158	0.00051921	10.202	9990300	2				2230	4227;6976	True;True	4317;7135	7058;11831	8020;13543	8020;13543		
Q9UN71-2;Q9UN71	Q9UN71-2;Q9UN71	1;1	1;1	1;1	Isoform 2 of Protocadherin gamma-B4 ;Protocadherin gamma-B4 	2	1	1	1	1.7	1.7	1.7	87.446	803	803;923	0.0095902	5.9455	9077800	1				2231	3010	True	3078	5127	5848	5848	469	194
Q9UN86-2;Q9UN86;D6RAC7;D6RB17;D6RGJ4;D6RBM9;D6REX8;D6RBR0;D6RE13;D6RBW8;D6R9X5;D6R9A4	Q9UN86-2;Q9UN86	9;9;4;4;3;2;2;2;2;2;1;1	8;8;3;3;2;1;1;1;1;1;0;0	8;8;3;3;2;1;1;1;1;1;0;0	Isoform B of Ras GTPase-activating protein-binding protein 2 ;Ras GTPase-activating protein-binding protein 2 	12	9	8	8	22.9	20.3	20.3	50.817	449	449;482;141;198;125;77;99;102;110;115;56;59	0	70.064	198500000	14				2232	4042;4345;4827;5313;6406;9033;14103;14710;14778	True;True;True;True;True;True;True;True;False	4130;4437;4931;5423;6543;9237;14495;15120;15190	6774;7251;7252;8122;8926;8927;10863;10864;15366;23973;23974;25029;25030;25136	7696;8242;8243;9266;10155;10156;10157;12421;12422;12423;17526;27271;27272;28491;28492;28607	7696;8242;9266;10157;12421;17526;27271;28492;28607		
Q9UNE7-2;Q9UNE7;H3BTA3;H3BUD0;H3BS86	Q9UNE7-2;Q9UNE7;H3BTA3	7;7;4;3;3	7;7;4;3;3	7;7;4;3;3	Isoform 2 of E3 ubiquitin-protein ligase CHIP ;E3 ubiquitin-protein ligase CHIP ;E3 ubiquitin-protein ligase CHIP (Fragment) 	5	7	7	7	32	32	32	27.067	231	231;303;157;185;213	0	45.88	147590000	8				2233	866;1252;2014;6728;8927;10181;12422	True;True;True;True;True;True;True	889;1283;2061;6881;9128;10468;12774	1476;2133;2134;3419;3420;11410;15201;17357;21118	1684;2447;2448;3910;3911;13054;17338;19749;23992	1684;2448;3911;13054;17338;19749;23992		
Q9UNF0-2;Q9UNF0;H0Y923;B0QYG7;B0QYG8	Q9UNF0-2;Q9UNF0	4;4;1;1;1	4;4;1;1;1	4;4;1;1;1	Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2 ;Protein kinase C and casein kinase substrate in neurons protein 2 	5	4	4	4	9.7	9.7	9.7	51.353	445	445;486;59;152;155	0	27.013	22247000	4				2234	1049;1653;3492;7407	True;True;True;True	1074;1689;3569;7576	1775;2809;5909;12635	2050;3230;6717;14446	2050;3230;6717;14446		
Q9UNH7;Q9UNH7-2;B4DJS7;G3V5X9;G3V2U1;H0YJF8;G3V4Z5	Q9UNH7;Q9UNH7-2;B4DJS7;G3V5X9	4;3;3;2;1;1;1	4;3;3;2;1;1;1	4;3;3;2;1;1;1	Sorting nexin-6 ;Isoform 2 of Sorting nexin-6 ;Sorting nexin 6, isoform CRA_e ;Sorting nexin-6 (Fragment) 	7	4	4	4	16	16	16	46.648	406	406;290;294;239;132;150;169	0	32.001	32518000	5				2235	6134;8175;10682;11685	True;True;True;True	6262;8359;10990;12017	10386;10387;13949;18252;19905	11838;11839;15901;20792;22610	11838;15901;20792;22610		
Q9UNM6;Q9UNM6-2;J3KNQ3;E9PL38;H0YD73;E9PPD2;E9PQG3;F8W8J6	Q9UNM6;Q9UNM6-2;J3KNQ3;E9PL38	13;12;11;8;6;2;2;1	13;12;11;8;6;2;2;1	13;12;11;8;6;2;2;1	26S proteasome non-ATPase regulatory subunit 13 ;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13 ;26S proteasome non-ATPase regulatory subunit 13 ;26S proteasome non-ATPase regulatory subunit 13 (Fragment) 	8	13	13	13	32.2	32.2	32.2	42.945	376	376;378;349;263;221;70;113;72	0	96.684	249040000	19				2236	1007;2199;3950;3951;5189;6859;7965;8934;9693;11253;12532;12922;14536	True;True;True;True;True;True;True;True;True;True;True;True;True	1031;2249;4033;4034;5297;7015;8145;9135;9914;11575;12884;13282;14943	1700;3725;3726;6632;6633;8722;8723;11632;11633;13610;15211;16475;16476;19176;21303;21934;21935;24743;24744	1946;4254;4255;7532;7533;9929;9930;13323;13324;13325;15518;17348;18761;18762;21827;24196;24918;24919;28162;28163	1946;4255;7532;7533;9930;13323;15518;17348;18761;21827;24196;24918;28162		
Q9UNS2;H7C3P9;Q9UNS2-2;J3QKR0;C9JLV5;J3QL22;J3QS85;J3KTQ1;K7ES36	Q9UNS2;H7C3P9;Q9UNS2-2	6;5;5;2;2;1;1;1;1	6;5;5;2;2;1;1;1;1	6;5;5;2;2;1;1;1;1	COP9 signalosome complex subunit 3 ;COP9 signalosome complex subunit 3 ;Isoform 2 of COP9 signalosome complex subunit 3 	9	6	6	6	20.8	20.8	20.8	47.873	423	423;345;403;116;318;20;31;107;122	0	77.223	67732000	8				2237	1061;1293;12322;13055;14952;15547	True;True;True;True;True;True	1086;1324;12671;13421;15369;15977	1792;1793;2209;20952;22157;25433;26417;26418	2069;2070;2540;23807;25171;28961;30048;30049	2069;2540;23807;25171;28961;30048		
